FileName,SampleName,Factor,Treatment,Type
3-2-12-1_CAGATC.bam,CBF3_sample1,CBF,control,CBF
3-2-12-3_ACTTGA.bam,CBF3_sample2,CBF,control,CBF
3-2-12-6_GATCAG.bam,CBF3_sample3,CBF,control,CBF
3-2-124C10_AGTTCC.bam,CBF3_4C_sample1,CBF4C,4C,CBF
3-2-124C16_ATGTCA.bam,CBF3_4C_sample2,CBF4C,4C,CBF
3-2-124C2_AGTCAA.bam,CBF3_4C_sample3,CBF4C,4C,CBF
BD-21-3_ACAGTG.bam,WT_sample1,WT,control,control
BD-21-5_GCCAAT.bam,WT_sample2,WT,control,control
BD21-1_TGACCA.bam,WT_sample3,WT,control,control
BD214C-2_TAGCTT.bam,WT_4C_sample1,WT4C,4C,control
BD214C-4_GGCTAC.bam,WT_4C_sample2,WT4C,4C,control
BD214C-6_CTTGTA.bam,WT_4C_sample3,WT4C,4C,control
Bri-57-1_GTCCGC.bam,Bri,Bri,control,control
CB_CCGTCC.bam,CB,CB,control,control
